track,country,time,race_name,race_class,handicap_rating,age_class,distance_mls,distance,going,prize,total_runners,winning_time,winning_timevar,total_sp,position,row_index,draw,horse_name,horse_country,price_decimal,price_fraction,price_symbol,horse_age,birth_year,horse_weight,dist_upper,dist_beaten,racecard_number,horse_or,horse_ts,horse_rpr,horse_jockey,horse_trainer,color,sex,sire,dam,damsire,price_var,headgear,wind_12
,,02:20:00,C3: National Hunt; C8: Flat;,,0-70,,1.4830,2.1875,,"1: £15,640; 2: £4,620; 3: £2,310; 4: £1,155; 5: £577.50; 6: £290",16.0,83.33,-18.67,118.00,4,16.0,5.0,Amazed By Grace,,2.875,13/8,,,,123.0,3.2500,3.0000,16.0,54.0,12.0,17.0,Alison Johnson,Alexandra Dunn,,,Arakan (USA),Alegra,Aljabr,op 10/3 tchd 11/4,w,
,,02:22:00,C3: Novice; C4: Handicap; C6: Chase;,,0-75,,1.5290,2.2500,,"1: £18,224; 2: £6,838.40; 3: £3,424; 4: £1,705.60; 5: £857.60; 6: £428.80",17.0,88.39,-17.40,119.00,5,2.0,16.0,Amber Kite,,3.000,14/1,,,,124.0,3.5000,3.2500,2.0,55.0,13.0,18.0,Alistair Rawlinson,Amy Murphy,,,Arcadio (GER),Alessandra,Alphabatim,op 10/3 tchd 16/5,,
,,02:30:00,C3: Novice; C4: Handicap; C6: Hurdle;,,0-80,,1.9784,2.3750,,"1: £19,848.50; 2: £7,525; 3: £3,766; 4: £1,876; 5: £941.50; 6: £472.50",18.0,90.26,-17.10,120.00,6,17.0,2.0,Amberine,,3.125,15/2,,,,125.0,3.7500,3.5000,17.0,56.0,14.0,19.0,Andrea Atzeni,Andrew Kinirons,,,Archange D'Or (IRE),Alice's Dancer (IRE),Alzao,op 10/3 tchd 3/1,,
,,02:35:00,C3: Novice; C4: Listed; C6: Hurdle;,,0-85,,1.9858,2.4375,,"1: £2,274.30; 2: £667.80; 3: £333.90; 4: £166.95",,91.66,-16.05,121.00,7,11.0,17.0,Amelia's Dance,,3.250,15/8,,,,126.0,4.0000,3.7500,11.0,57.0,15.0,20.0,Andrew Mullen,Andrew McNamara,,,Archipenko (USA),All Heart,Amadeus Wolf,op 10/3 tchd 7/2,,
,,02:40:00,C3: Novice; C6: Chase;,,45-65,,2.1011,2.5000,,"1: £2,682.77; 2: £832.05; 3: £415.81; 4: £300; 5: £300; 6: £300; 7: £300; 8: £300",,94.15,-16.00,122.00,8,14.0,11.0,Andonno,,3.500,150/1,,,,127.0,4.2500,4.0000,14.0,58.0,16.0,21.0,Andrew Slattery,Andrew Slattery,,,Arctic Cosmos (USA),All Magic (IRE),Anabaa,op 10/3 tchd 9/2,,
,,02:42:00,C3: Novice; C6: Hurdle;,,45-70,,2.2159,2.6250,,"1: £2,781.67; 2: £827.75; 3: £413.66; 4: £300; 5: £300; 6: £300; 7: £300; 8: £300",,94.89,-15.90,123.00,9,8.0,14.0,Angel's Whisper,,3.750,16/1,,,,128.0,4.5000,4.2500,8.0,59.0,17.0,23.0,Angus Villiers,Anthony Carson,,,Ask,Allerford Lily,Anabaa Blue,op 100/1,,
,,02:50:00,C3: Novice; C8: Stakes;,,80-109,,2.2511,3.0000,,"1: £2,794.14; 2: £820.44; 3: £410.22; 4: £350; 5: £350; 6: £350; 7: £350; 8: £350",,104.02,-15.39,124.00,F,,8.0,Another Tuco,,4.000,16/5,,,,129.0,4.7500,4.5000,,60.0,18.0,24.0,B J Cooper,Antony Brittain,,,Assertive,Aloisi,Ange Gabriel,op 100/1 tchd 150/1,,
,,02:57:00,C4: Handicap;,,80-95,,2.4119,3.1250,,"1: £2,989.08; 2: £877.68; 3: £438.84; 4: £219.42; 5: £350; 6: £350; 7: £350",,104.83,-15.00,125.00,PU,,,Apache Blaze,,4.200,17/2,,,,130.0,5.0000,4.7500,,61.0,19.0,25.0,Barry Browne,Archie Watson,,,Aussie Rules (USA),Alpha Style (GER),Anshan,op 100/1 tchd 50/1,,
,,03:00:00,C4: Handicap; C4: Group; C6: Chase;,,,,2.4682,3.1875,,"1: £2,989.08; 2: £877.68; 3: £438.84; 4: £350",,105.30,-14.12,126.00,UR,,,Apricot Moon,,4.333,18/1,,,,131.0,5.5000,5.0000,,62.0,20.0,26.0,Barry McHugh,Augustine Leahy,,,Australia,Alushta,Aptitude,op 11/1,,
,,03:05:00,C4: Handicap; C4: Group; C6: Hurdle;,,,,2.4818,3.6250,,"1: £2,989.08; 2: £877.68; 3: £438.84; 4: £350; 5: £350",,105.75,-13.99,128.00,,,,Arabescato,,4.500,18/5,,,,132.0,6.0000,5.2500,,63.0,21.0,27.0,Ben Coen,B R Hamilton,,,Authorized (IRE),Amber Queen (IRE),Araafa,op 11/1 and tchd 12/1,,
